Branch,pdate,BILLDATE,Nominal,days_late,kolektibilitas
5,2017-06-05,2017-04-07,3076131.0,-59,1
5,2017-06-05,2017-05-24,3676000.0,-12,1
5,2017-06-05,2017-05-04,2965025.0,-32,1
17,2017-06-09,2017-05-30,3130500.0,-10,1
3,2017-06-08,2017-04-10,103000.0,-59,1
3,2017-06-08,2017-04-28,8779000.0,-41,1
3,2017-06-08,2017-04-10,2056000.0,-59,1
2,2017-10-26,2017-07-15,2438500.0,-103,2
2,2017-10-26,2017-12-18,-2438500.0,53,0
2,2017-10-26,2017-07-15,4960850.0,-103,2
2,2017-10-26,2017-12-18,-4960850.0,53,0
2,2017-10-26,2017-07-15,4960850.0,-103,2
2,2017-10-26,2017-12-18,-4960850.0,53,0
2,2017-10-26,2017-07-20,3619967.0,-98,2
2,2017-10-26,2017-10-25,-3619967.0,-1,1
2,2017-10-26,2017-09-06,2790273.0,-50,1
2,2017-10-26,2017-10-25,-2790273.0,-1,1
2,2017-10-26,2017-05-16,4958200.0,-163,3
2,2017-10-26,2017-12-18,-4958200.0,53,0
2,2017-10-26,2017-07-15,4501320.0,-103,2
2,2017-10-26,2017-12-18,-4501320.0,53,0
2,2017-10-26,2017-07-23,6721500.0,-95,2
2,2017-10-26,2017-12-19,-6721500.0,54,0
2,2017-10-26,2017-06-08,2918200.0,-140,3
6,2017-10-27,2017-10-07,434920.0,-20,1
13,2017-06-06,2017-05-30,4159000.0,-7,1
13,2017-05-31,2017-04-13,541000.0,-48,1
13,2017-05-31,2017-05-27,3696000.0,-4,1
13,2017-05-31,2017-05-19,3418000.0,-12,1
15,2017-06-06,2017-06-04,2725700.0,-2,1
10,2017-02-04,2016-01-27,-1550094.0,-374,4
10,2017-02-04,2016-04-12,-2170402.0,-298,4
5,2017-02-02,2017-01-26,3938500.0,-7,1
10,2017-02-04,2016-05-12,-1110820.0,-268,4
10,2017-02-04,2016-02-22,-2744784.0,-348,4
10,2017-02-04,2016-06-30,-819031.0,-219,4
6,2018-03-19,2017-12-22,2975425.0,-87,1
4,2018-03-15,2018-01-26,2039600.0,-48,1
4,2018-03-15,2018-01-26,710100.0,-48,1
4,2018-03-15,2018-01-29,208600.0,-45,1
4,2018-03-15,2018-02-05,-538757.0,-38,1
10,2018-03-15,2017-09-25,15350164.0,-171,3
13,2018-03-19,2017-10-30,18825000.0,-140,3
13,2018-03-19,2018-03-16,-18825000.0,-3,1
13,2018-03-19,2017-11-16,18825000.0,-123,3
13,2018-03-19,2018-03-16,-18825000.0,-3,1
3,2019-03-26,2019-02-21,2236440.0,-33,1
15,2019-03-28,2019-03-18,5561000.0,-10,1
10,2019-03-26,2019-03-21,1591600.0,-5,1
10,2017-02-04,2016-08-30,-1661022.0,-158,3
18,2018-06-22,2018-06-05,965065.0,-17,1
9,2018-06-26,2018-05-24,7223000.0,-33,1
18,2018-06-27,2018-04-28,6686500.0,-60,1
18,2018-06-27,2018-06-22,5085400.0,-5,1
10,2017-02-04,2016-11-14,-1257475.0,-82,1
6,2017-06-05,2017-04-05,349210.0,-61,1
10,2017-02-04,2016-04-29,-948883.0,-281,4
11,2017-02-03,2017-02-02,-801031.0,-1,1
10,2017-02-04,2016-03-07,-1686049.0,-334,4
8,2017-02-14,2017-01-12,-880875.0,-33,1
10,2017-02-04,2016-08-01,-1878479.0,-187,4
3,2017-07-05,2017-06-19,-3000710.0,-16,1
3,2017-07-05,2017-07-19,2998000.0,14,0
3,2017-07-05,2017-05-02,185100.0,-64,1
11,2017-02-05,2017-01-30,1840430.0,-6,1
12,2017-02-06,2017-01-18,203000.0,-19,1
18,2019-04-04,2019-04-02,-46213500.0,-2,1
18,2019-04-04,2018-11-28,46244500.0,-127,3
6,2019-04-04,2018-06-29,3177250.0,-279,4
6,2019-04-04,2019-01-11,3648400.0,-83,1
6,2019-04-04,2019-04-02,-3059875.0,-2,1
6,2019-04-04,2018-12-10,3059875.0,-115,2
6,2019-04-04,2019-04-02,-2796250.0,-2,1
6,2019-04-04,2018-12-07,2796250.0,-118,2
2,2017-10-26,2017-08-09,-1030000.0,-78,1
2,2017-10-26,2017-10-20,-1888200.0,-6,1
2,2017-10-26,2017-07-14,1363500.0,-104,2
2,2017-10-26,2017-10-20,-11725734.0,-6,1
2,2017-10-26,2017-08-11,2862000.0,-76,1
2,2017-10-26,2017-10-19,-2862000.0,-7,1
2,2017-10-26,2017-12-23,-1177701.0,58,0
2,2017-10-26,2017-12-24,-5138299.0,59,0
2,2017-10-26,2017-10-25,4079600.0,-1,1
2,2017-10-26,2017-10-25,-404860.0,-1,1
11,2017-10-26,2017-09-15,4949800.0,-41,1
11,2017-10-26,2017-10-26,-4949800.0,0,0
6,2017-10-26,2017-10-21,301000.0,-5,1
13,2017-10-26,2017-03-22,1269400.0,-218,4
2,2017-10-26,2017-09-20,2449192.0,-36,1
12,2017-10-27,2017-08-03,5640650.0,-85,1
12,2017-10-27,2017-08-03,4240295.0,-85,1
10,2017-10-27,2017-10-16,2055190.0,-11,1
13,2017-10-26,2017-10-25,4128891.0,-1,1
13,2017-10-26,2016-04-30,-4128891.0,-544,4
6,2017-10-27,2017-10-06,3844040.0,-21,1
10,2019-04-15,2019-04-11,8452930.0,-4,1
14,2019-04-12,2019-01-16,13141000.0,-86,1
10,2017-05-22,2016-07-26,4843200.0,-300,4
10,2017-05-22,2017-05-19,-4843200.0,-3,1
11,2017-02-05,2017-01-30,1840430.0,-6,1
11,2017-02-05,2017-01-30,1840430.0,-6,1
17,2017-02-20,2017-02-15,2121888.0,-5,1
17,2017-02-20,2017-02-19,-2121888.0,-1,1
11,2017-02-05,2017-01-27,1294755.0,-9,1
11,2017-02-05,2017-01-27,1294755.0,-9,1
11,2017-02-05,2017-02-01,1716007.0,-4,1
17,2017-06-05,2017-05-31,2251300.0,-5,1
5,2017-07-27,2017-07-18,143000.0,-9,1
7,2017-08-04,2017-07-19,715000.0,-16,1
7,2017-08-04,2017-07-18,493000.0,-17,1
7,2017-08-04,2017-07-19,6023500.0,-16,1
3,2017-08-07,2017-07-27,-1544250.0,-11,1
3,2017-06-02,2017-05-30,84600.0,-3,1
11,2017-06-15,2017-06-18,4445000.0,3,0
10,2017-05-31,2016-05-26,-405600.0,-370,4
10,2017-08-31,2017-05-18,518500.0,-105,2
16,2017-11-02,2017-09-27,2066875.0,-36,1
